review,sentiment_label
Awesome purchase.Thanks to Flipkart for the speedy delivery I got it delivered on the third day itself.Go for it if you want to experience the butter smooth phone.Battery life is very minimal compared to my previous android phone Redmi Note 8.READ MORE,positive
Best camera phoneREAD MORE,positive
ExcellentREAD MORE,positive
As desiredREAD MORE,positive
goodREAD MORE,positive
Best iPhone everREAD MORE,positive
Display Camera and all other hardware is excellent but user interface is too confusing…user interface of Android is far better than this..anyone can’t use iPhone with only one hand due to its interface…READ MORE,negative
OsmREAD MORE,positive
Very nice iphone 12READ MORE,positive
Amazing cameraREAD MORE,positive
"switched to Iphone after 10 years of android Usageadvantages of Iphone 12 :1. Night mode camera is excellent, photos attached2. Future proof with 5G3. processor is much better than even high end android flagships4. butter smooth UI experienceCons :1. Transferring data from android is very difficult and almost zero connectivity with environment outside apple ecosystem2. Charger is sold separately for 1800 bucks ..!!READ MORE",positive
Good product and excellent service 👍READ MORE,positive
"I am using i phone 12, 64 gb variant since 3 months and i am giving review after 3 months1. Awesome rear camera for daylight photography. I didn't satisfied with night mode. Front cmera need to be improvement as per brand value.2. operating experience is superb.if you are android user you won't accept it first gradually you will used to it.3.display is superb but refresh rate should be atleast 90 Hertz. You will not enjoy if you scrolling something else.4.gaming experience is good due to...READ MORE",negative
Worth of buying this product. It’s really a good stuff for apple lover.READ MORE,positive
Ultimate love youREAD MORE,positive
NiceREAD MORE,positive
GodREAD MORE,positive
Retina is not good than samsung galaxy s21 ultraREAD MORE,negative
Good productREAD MORE,positive
Everything is Good in Apple 🍎 But only one Issue it's battery 🔋 backup is very few.But otherwise it is awesome 😎READ MORE,positive
"No need to mention about the quality of the Apple products. I brought green colour iPhone 12, which is an excellent colour. I am attaching the Snaps taken from my iPhone 6s Plus. Got this item from Flipkart at good discounted price. Flipkart delivery is expected, but expected to be delivered in a day. Got this item in two days as per the plan.READ MORE",positive
Updated myself from Iphone XRREAD MORE,positive
My second iPhone after XR get stolen overall good purchase look and weight is perfectREAD MORE,positive
NiceREAD MORE,positive
"Super Fast, Secure & Reliable but battery could be one of issues. Iphone 11 Camera is much better than Iphone 12 to be honest.READ MORE",negative
Great product and must buy. Thank you Flipkart for timely deliveryREAD MORE,positive
It's just awsmmmm 😎READ MORE,negative
Excellent.. Product ❤READ MORE,positive
genuine product phone looks too good and performance is also goodREAD MORE,positive
Nothing to say but it’s just awesomeREAD MORE,positive
AwesomeREAD MORE,positive
Thank you flipkart for delivering this phone on my birthday as it shows to deliver on 14th july but i got it on my birthday date... and it is actually a perfect phone value for money...READ MORE,positive
So satisfiedREAD MORE,positive
Just awesome… loved it 😍READ MORE,positive
Nice product and excellent delivery serviceREAD MORE,positive
Very nice mobileREAD MORE,positive
AwsomeREAD MORE,positive
GoodREAD MORE,positive
I got a bad product and it's heatingREAD MORE,negative
Go for itREAD MORE,positive
Thank u so much such as a lovely phone.The battery backup is very good as compared  to other phone battery same mah.Camera is best.Phone running very smooth.READ MORE,positive
It is an awesome phone the display is too good and camera also.READ MORE,positive
Camera quality was excellentREAD MORE,positive
"iPhone 12 is a great choice proms-1. Camera 2. Smoothness as always in all iPhones 3 looks Cons: 1 . Battery is not at all good, I hardly use phone but battery within 12 hours. iPhone must improve its batteryREAD MORE",negative
Never Buy Phone from Flipkart. i got the Broken Iphone12.READ MORE,negative
World number 1 camera performance ❤️READ MORE,positive
"The phone has damaged my sim on 1st insertion of the sim. Simultaneously,  the phone doesn't catch wifi symbols properly. Have tried 2 different sims but has made the sims invalid for all phones.Flipkart only has a return policy on damaged products but has no policy for defective products.Highly dissapointedREAD MORE",negative
Just awesome !READ MORE,positive
Good! Battery not so good. Rest its awesome!READ MORE,negative
BestREAD MORE,positive
Thank you so much Flipkart for fastest delivery.Camera quality is really awesome.READ MORE,positive
Loved the deal for iPhone in big billion sale. Could not manage to get this phone in any better price. Also it’s genuine apple product. Nice packaged and delivered before time. Pl believe in big billion sale and buy this phone.READ MORE,positive
Iphone is iPhoneREAD MORE,negative
Just thanks i recived my dream fon in very good condition so thanks to flipakart ❤️❤️READ MORE,positive
AwesomeREAD MORE,positive
